position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
113	40Rpg3LkZwwzuHJ3GdjMma	Gnarly (feat. Lil Pump)	Kodak Black	306108	nan	1	113	new
114	2qT1uLXPVPzGgFOx4jtEuo	no tears left to cry	Ariana Grande	303788	107	18	20	-7
115	75ZvA4QfFiZvzhj2xkaWAh	I Fall Apart	Post Malone	302750	102	65	10	-13
116	4EZUcj7c8n9pWIwHqN0DoH	Do You Hear What I Hear?	Bing Crosby	300998	132	6	78	16
117	5VEuraNSVxMTzDTtrmL3lQ	Winter Wonderland	Bing Crosby	300867	121	7	28	4
118	4NBTZtAt1F13VvlSKe6KTl	This Feeling	The Chainsmokers	300496	nan	1	118	new
119	4MrfQL4TYQXJBlZYpAHTuE	Baby, It's Cold Outside	Dean Martin	297787	124	5	101	5
120	3Z3QhZAZpqwZa1phsbQ3JZ	Driving Home for Christmas	Chris Rea	296689	151	2	120	31
121	1foCxQtxBweJtZmdxhEHVO	Santa Baby (with Henri René & His Orchestra)	Eartha Kitt	294806	122	7	54	1
122	45Egmo7icyopuzJN0oMEdk	Love Lies (with Normani)	Khalid	293698	108	44	6	-14
123	14sOS5L36385FJ3OL8hew4	Happy Now	Kygo	293587	106	8	38	-17
124	4Uy3kNxW2kB8AEoXljEcth	Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse	Nicki Minaj	293076	nan	1	124	new
125	1VuAamHM7P3VQQEXYGG3Uu	Joy To The World	Nat King Cole	292432	137	3	125	12
126	5OCJzvD7sykQEKHH7qAC3C	God is a woman	Ariana Grande	289175	112	18	9	-14
127	3h1EREJfCwyv6cG7CGak5d	What Christmas Means To Me	Stevie Wonder	285285	175	2	127	48
128	1ZAyjvIk9YiD76yYy0TEG6	Plug Walk	Rich The Kid	284955	119	21	49	-9
129	7wBJfHzpfI3032CSD7CE2m	STARGAZING	Travis Scott	284247	135	20	3	6
130	1jo3TwNGCXfNdB5uba3ZVv	Killshot	Eminem	283448	120	14	3	-10
131	7faDzZnZYqTyYThx2sbHVQ	Mistletoe And Holly - Remastered 1999	Frank Sinatra	282257	146	5	82	15
132	4kWO6O1BUXcZmaxitpVUwp	Jackie Chan	Tiësto	280482	125	31	8	-7
133	4tHqQMWSqmL6YjXwsqthDI	Carol of the Bells	Mykola Dmytrovych Leontovych	279285	136	7	45	3
134	7GX5flRQZVHRAGd6B4TmDO	XO Tour Llif3	Lil Uzi Vert	279215	126	69	5	-8
135	5tAa8Uaqr4VvA3693mbIhU	Ruin My Life	Zara Larsson	276505	138	9	47	3
136	2gbCG4Rt9984UZ7Tc0dIFd	White Christmas (with Shania Twain)	Michael Bublé	274860	150	6	89	14
