position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
91	5uCax9HTNlzGybIStD3vDh	Say You Won't Let Go	James Arthur	430099	81	7	81	-10
92	5s2ydrmJOiPeZGx4S4X8Aw	Impasse - Ao Vivo	Marília Mendonça	428534	82	7	59	-10
93	5j0tH4MzB4QyJLX8Ys9ofG	Elas Gostam	MC Kevinho	426245	99	7	93	6
94	3XSefjiSHsD34F7clH84xa	O Que Falta Em Você Sou Eu - Ao Vivo	Marília Mendonça	425326	87	7	70	-7
95	4rWCLK8mfQ6JpArmgIT8aK	Que Sorte A Nossa - Live	Matheus & Kauan	424313	86	7	63	-9
96	7DRP2VOMpy1rrk3iYFLCW9	Malandramente	Dennis DJ	420967	85	7	32	-11
97	3LFG5DqNQRK0yL6WNMw99P	Ciumento Eu - Ao Vivo	Henrique & Diego	420607	101	5	97	4
98	1cG0umU5TKStygKsPFZ9pY	Shed a Light	Robin Schulz	420345	79	7	70	-19
99	4gvePWCd0GfkC40QshflUy	Cheia de Marra	Mc Livinho	419743	94	7	94	-5
100	4xHkRNzzHtj3O3Z1pjYWRC	Me Espera	Sandy	418638	102	7	100	2
101	1OtZIaJBXo3Pe6nfaMsjKT	Na Ponta Ela Fica	Delano	418498	96	7	68	-5
102	6gquljDBW7rE6mCBzmTRxo	Raspão - Ao Vivo	Henrique & Diego	417952	89	7	83	-13
103	27SdWb2rFzO6GWiYDBTD9j	Cheap Thrills	Sia	412278	91	7	41	-12
104	3cS6YsU197mrdPTyR7nbp7	Parece Piada - Ao Vivo	Henrique & Juliano	412192	95	7	74	-9
105	3E9s5Feisg3xmzzAHdq4aa	Remexe mexe	Delano	409800	104	7	99	-1
106	3iDY4SzUHPkC3WTXpfxXJG	Todo Dia	Pabllo Vittar	406231	97	4	79	-9
107	4PNi30UilK0CZi2z9wegMQ	Deixa a Gente Quieto - Ao Vivo	João Bosco & Vinicius	400767	103	7	103	-4
108	0azC730Exh71aQlOt9Zj3y	This Is What You Came For	Calvin Harris	396054	98	7	56	-10
109	68EMU2RD1ECNeOeJ5qAXCV	We Don't Talk Anymore	Charlie Puth	395933	100	7	66	-9
110	5mWbOKfRxcS5iv32amTHPe	All I Want (feat. Stonefox) - Edit	Alok	395592	107	4	107	-3
111	50PWlIBU7PlGGwzgN8TiFJ	Million Reasons	Lady Gaga	394656	136	2	111	25
112	3twpVbHfTCpgHNlStxfpzx	Até Ex Duvida - Ao Vivo	Day e Lara	393649	114	7	112	2
113	1FTsXXwai3jVXhBTLd4e4L	Incerteza - Na Praia / Ao Vivo	Matheus & Kauan	392664	108	7	80	-5
114	6fxVffaTuwjgEk5h9QyRjy	Photograph	Ed Sheeran	389965	112	7	65	-2
115	0Or4rCFurYpUxYh0bbpxRY	Solteiro de Novo - Ao Vivo	Wesley Safadão	387339	117	7	113	2
116	1FUViuNSldssMIawrOXF2i	I Got You	Bebe Rexha	386707	106	6	104	-10
117	4vb4mFvYsr2h6enhjJsq9Y	Water Under the Bridge	Adele	385866	153	7	117	36
118	4Q4jmPHwu0wrJvqrld0FQ6	I Would Like	Zara Larsson	385810	156	7	84	38
119	25SL3ZSbEGtu4oU14xllMQ	Bom	Ludmilla	385468	110	7	58	-9
120	4SCH5CuivFcShLpTg8lYOf	Bumbum Granada	Mc's Zaac & Jerry Smith	382601	109	7	52	-11
121	5Nw3HvX6k8cB7NjEkqJkij	Fantasma	Luan Santana	378718	105	7	86	-16
122	4NpFX0f0GfJgy92c9ypVxk	De Buenas	Lucas Lucco	378000	118	7	118	-4
123	5Bc53chGSf3AoJRbB5mzR6	Ficadinha - Ao Vivo	Henrique & Diego	376097	nan	1	123	new
124	17Fd6Yb7mSbinKG8LoWfFl	I Took A Pill In Ibiza - Seeb Remix	Mike Posner	375550	115	7	51	-9
125	5YdC74tZejyq3vurDOLFYz	Sentimento Louco - Ao Vivo	Marília Mendonça	374052	116	7	103	-9
126	6HUnnBwYZqcED1eQztxMBN	Solo Dance	Martin Jensen	371612	121	6	112	-5
127	6S8yTw0KfidwuAq5Y6Bygj	Duvido Você Não Tomar Uma - Ao Vivo	Simone & Simaria	368553	123	7	110	-4
128	5XRtwljsug3r3XOBy9Bndu	Tudo de Bom	Mc Livinho	367145	127	7	109	-1
129	0Mh4id8WvrTFOB9RiVitrB	Nada Bom II	Costa Gold	366046	124	7	84	-5
130	78rIJddV4X0HkNAInEcYde	Call On Me - Ryan Riback Extended Remix	Starley	363201	119	7	103	-11
131	1OAiWI2oPmglaOiv9fdioU	Hymn for the Weekend - Seeb Remix	Coldplay	363107	120	7	87	-11
132	2PS6YQ9jMpm0uCg4sQ1ygm	Oh Novinha	Mc Don Juan	359933	160	4	132	28
133	3HrvG1d9OZpg6eV4A1dcSk	De Tanto Te Querer - Ao Vivo	Jorge & Mateus	356918	125	7	125	-8
134	716p41p4BQQuUMgOP8ucpF	Você Foi Diferente	MC G15	354339	133	7	106	-1
135	62LiYpeFoJaixqkaNRGg47	Aquele 1% - Ao Vivo	Marcos & Belutti	352600	126	7	55	-9
136	3QhJAGDdxt749dFveYVy4M	Fala a Verdade - Ao Vivo	Maiara & Maraisa	350382	128	7	73	-8
137	19Ggp86mkEnRw93u91IJPO	Você Faz Falta Aqui - Ao Vivo | Acústico	Maiara & Maraisa	347748	130	7	119	-7
138	0gNxi721t2RcPt5LdWGfpb	Não Me Deixe Sozinho	Nego do Borel	347056	143	7	138	5
139	6i0V12jOa3mr6uu4WYhUBr	Heathens	Twenty One Pilots	340155	111	7	76	-28
140	21j9YxYHSzrdcLBX3mb5UL	Quando O Mel É Bom - Ao Vivo	Simone & Simaria	339749	134	7	125	-6
141	6TmmyW0fR8mo3ACj07lGmO	Oh Meu Deus	Projota	338131	165	3	141	24
142	2ACOWPLUe4A4KuQ5ioD2od	That's My Girl	Fifth Harmony	336008	132	7	90	-10
143	1yNyoWWWikbLhwIGWjZuDW	All Night	The Vamps	335102	146	7	143	3
144	5Bn6W4bwH7Bw5nMvn8V4xF	Essa mina é louca (Participação especial de Jhama)	Anitta	334212	138	7	106	-6
145	0HEZXwSywflxeQcysigawO	126 Cabides	Simone & Simaria	334144	137	7	137	-8
146	4DYmJ19DhmxUe26QhANDYv	Folgado - Ao Vivo	Marília Mendonça	333394	140	7	136	-6
147	4BHzQ9C00ceJxfG16AlNWb	Send My Love (To Your New Lover)	Adele	331661	162	7	88	15
148	0bX2gnECXZJ5nt7rcIZMVM	Amei Te Ver (Acústica) - Acústica	Tiago Iorc	330970	142	7	129	-6
149	6fujklziTHa8uoM5OQSfIo	Black Beatles	Rae Sremmurd	329996	129	7	71	-20
